"","UID","Timestamp","num","Yes","No","LockNo","Phantom","TotalRels","usedLock"
"1","spc101 12.13 16.36.14",1355421418,40,86,0,0,0,86,FALSE
"2","spc102 12.13 16.31.56",1355421066,9,85,7,0,7,92,FALSE
"3","spc103 12.13 16.35.42",1355419968,29,71,11,0,10,82,FALSE
"4","spc104 12.13 16.32.20",1355421937,28,665,0,6716,0,7381,TRUE
"5","spc105 12.13 16.32.44",1355421097,30,114,0,0,3,114,FALSE
"6","spc106 12.13 16.32.52",1355419910,7,42,0,0,0,42,FALSE
"7","spc107 12.13 16.33.00",1355420950,28,106,13,0,12,119,FALSE
"8","spc108 12.13 16.33.06",1355420650,14,40,8,0,0,48,FALSE
"9","spc109 12.13 16.33.32",1355420481,6,89,2,0,0,91,FALSE
"10","spc110 12.13 16.30.58",1355420408,36,108,0,0,0,108,FALSE
"11","spc111 12.13 16.26.39",1355420426,14,102,0,0,3,102,FALSE
"12","spc112 12.13 16.36.01",1355420407,20,133,0,0,8,133,FALSE
"13","spc113 12.13 16.31.22",1355419890,27,111,22,0,4,133,FALSE
"14","spc114 12.13 16.36.30",1355420367,39,102,14,0,9,116,FALSE
"15","spc115 12.13 16.33.48",1355420443,51,1081,0,6299,0,7380,TRUE
"16","spc116 12.13 16.36.09",1355420298,25,70,3,0,13,73,FALSE
"17","spc117 12.13 16.34.19",1355419884,14,39,0,0,0,39,FALSE
"18","spc118 12.13 16.35.23",1355420053,12,91,0,0,12,91,FALSE
"19","spc119 12.13 16.35.52",1355421698,8,73,0,0,6,73,FALSE
"20","spc120 12.13 16.35.48",1355422007,29,106,21,0,10,127,FALSE
"21","spc135 12.13 16.36.48",1355420881,29,100,16,0,29,116,FALSE
"22","spc136 12.13 16.36.47",1355419861,16,108,20,0,5,128,FALSE
"23","spc56 12.13 16.35.46",1355418937,32,777,0,6604,0,7381,TRUE
"24","spc59 12.13 16.36.27",1355420482,15,105,0,0,2,105,FALSE
"25","spc60 12.13 16.36.20",1355421251,65,114,41,0,8,155,FALSE
"26","spc61 12.13 16.35.41",1355421464,58,115,0,0,11,115,FALSE
"27","spc62 12.13 16.37.34",1355420647,16,111,9,0,12,120,FALSE
"28","spc63 12.13 16.35.36",1355421273,21,40,0,0,11,40,FALSE
"29","spc64 12.13 16.35.57",1355421150,8,43,2,0,45,45,FALSE
"30","spc65 12.13 16.34.36",1355420724,34,1550,0,5831,0,7381,TRUE
"31","spc66 12.13 16.35.00",1355420181,40,69,9,0,9,78,FALSE
"32","spc67 12.13 16.35.45",1355420483,78,137,15,0,1,152,FALSE
"33","spc68 12.13 16.36.07",1355421782,33,403,0,3487,16,3890,TRUE
"34","spc69 12.13 16.35.50",1355419912,32,116,4,0,6,120,FALSE
"35","spc70 12.13 16.36.50",1355421469,36,40,0,0,0,40,FALSE
