"","UID","Time","Step","toMoJo","Step","fromMoJo"
"1","spc101 12.13 16.36.14",1355417768,0,18,0,0
"2","spc101 12.13 16.36.14",1355418002,1,18,1,0
"3","spc101 12.13 16.36.14",1355418348,2,18,2,0
"4","spc101 12.13 16.36.14",1355418419,3,18,3,0
"5","spc101 12.13 16.36.14",1355418470,4,18,4,0
"6","spc101 12.13 16.36.14",1355418518,5,18,5,0
"7","spc101 12.13 16.36.14",1355418568,6,18,6,0
"8","spc101 12.13 16.36.14",1355418675,7,18,7,0
"9","spc101 12.13 16.36.14",1355418711,8,18,8,0
"10","spc101 12.13 16.36.14",1355418776,9,18,9,0
"11","spc101 12.13 16.36.14",1355418849,10,18,10,0
"12","spc101 12.13 16.36.14",1355418935,11,18,11,0
"13","spc101 12.13 16.36.14",1355419005,12,18,12,0
"14","spc101 12.13 16.36.14",1355419055,13,18,13,0
"15","spc101 12.13 16.36.14",1355419142,14,18,14,0
"16","spc101 12.13 16.36.14",1355419219,15,18,15,0
"17","spc101 12.13 16.36.14",1355419282,16,18,16,0
"18","spc101 12.13 16.36.14",1355419320,17,18,17,0
"19","spc101 12.13 16.36.14",1355419407,18,19,18,1
"20","spc101 12.13 16.36.14",1355419460,19,19,19,1
"21","spc101 12.13 16.36.14",1355419510,20,19,20,1
"22","spc101 12.13 16.36.14",1355419950,21,19,21,1
"23","spc101 12.13 16.36.14",1355420074,22,19,22,1
"24","spc101 12.13 16.36.14",1355420251,23,19,23,1
"25","spc101 12.13 16.36.14",1355420310,24,19,24,1
"26","spc101 12.13 16.36.14",1355420442,25,16,25,2
"27","spc101 12.13 16.36.14",1355420559,26,16,26,2
"28","spc101 12.13 16.36.14",1355420613,27,15,27,3
"29","spc101 12.13 16.36.14",1355420717,28,12,28,6
"30","spc101 12.13 16.36.14",1355420780,29,12,29,6
"31","spc101 12.13 16.36.14",1355420833,30,11,30,7
"32","spc101 12.13 16.36.14",1355420867,31,11,31,8
"33","spc101 12.13 16.36.14",1355421016,32,11,32,8
"34","spc101 12.13 16.36.14",1355421095,33,11,33,8
"35","spc101 12.13 16.36.14",1355421163,34,10,34,9
"36","spc101 12.13 16.36.14",1355421188,35,10,35,9
"37","spc101 12.13 16.36.14",1355421220,36,7,36,12
"38","spc101 12.13 16.36.14",1355421303,37,4,37,15
"39","spc101 12.13 16.36.14",1355421369,38,3,38,16
"40","spc101 12.13 16.36.14",1355421418,39,0,39,18
"41","spc102 12.13 16.31.56",1355417351,0,19,0,0
"42","spc102 12.13 16.31.56",1355419116,1,19,1,0
"43","spc102 12.13 16.31.56",1355420053,2,6,2,17
"44","spc102 12.13 16.31.56",1355420371,3,6,3,17
"45","spc102 12.13 16.31.56",1355420612,4,3,4,20
"46","spc102 12.13 16.31.56",1355420706,5,2,5,21
"47","spc102 12.13 16.31.56",1355420904,6,1,6,22
"48","spc102 12.13 16.31.56",1355420992,7,1,7,22
"49","spc102 12.13 16.31.56",1355421066,8,0,8,23
"50","spc103 12.13 16.35.42",1355416851,0,23,0,0
"51","spc103 12.13 16.35.42",1355417010,1,23,1,0
"52","spc103 12.13 16.35.42",1355417071,2,23,2,0
"53","spc103 12.13 16.35.42",1355417124,3,23,3,0
"54","spc103 12.13 16.35.42",1355417170,4,23,4,0
"55","spc103 12.13 16.35.42",1355417233,5,23,5,0
"56","spc103 12.13 16.35.42",1355417332,6,23,6,0
"57","spc103 12.13 16.35.42",1355417429,7,23,7,0
"58","spc103 12.13 16.35.42",1355417513,8,23,8,0
"59","spc103 12.13 16.35.42",1355417608,9,23,9,0
"60","spc103 12.13 16.35.42",1355417788,10,23,10,0
"61","spc103 12.13 16.35.42",1355417804,11,22,11,1
"62","spc103 12.13 16.35.42",1355417879,12,21,12,2
"63","spc103 12.13 16.35.42",1355418093,13,21,13,2
"64","spc103 12.13 16.35.42",1355418095,14,21,14,2
"65","spc103 12.13 16.35.42",1355418161,15,21,15,2
"66","spc103 12.13 16.35.42",1355418358,16,21,16,2
"67","spc103 12.13 16.35.42",1355418494,17,19,17,4
"68","spc103 12.13 16.35.42",1355418695,18,18,18,5
"69","spc103 12.13 16.35.42",1355418761,19,18,19,5
"70","spc103 12.13 16.35.42",1355418823,20,18,20,6
"71","spc103 12.13 16.35.42",1355418923,21,16,21,8
"72","spc103 12.13 16.35.42",1355419069,22,16,22,8
"73","spc103 12.13 16.35.42",1355419096,23,14,23,10
"74","spc103 12.13 16.35.42",1355419220,24,14,24,10
"75","spc103 12.13 16.35.42",1355419404,25,9,25,11
"76","spc103 12.13 16.35.42",1355419856,26,10,26,13
"77","spc103 12.13 16.35.42",1355419908,27,8,27,13
"78","spc103 12.13 16.35.42",1355419968,28,0,28,18
"79","spc104 12.13 16.32.20",1355417351,0,70,0,0
"80","spc104 12.13 16.32.20",1355419294,1,70,1,0
"81","spc104 12.13 16.32.20",1355419601,2,70,2,0
"82","spc104 12.13 16.32.20",1355419696,3,66,3,1
"83","spc104 12.13 16.32.20",1355419720,4,61,4,2
"84","spc104 12.13 16.32.20",1355419883,5,58,5,5
"85","spc104 12.13 16.32.20",1355420122,6,53,6,8
"86","spc104 12.13 16.32.20",1355420169,7,48,7,9
"87","spc104 12.13 16.32.20",1355420291,8,45,8,11
"88","spc104 12.13 16.32.20",1355420347,9,43,9,13
"89","spc104 12.13 16.32.20",1355420487,10,42,10,14
"90","spc104 12.13 16.32.20",1355420591,11,41,11,15
"91","spc104 12.13 16.32.20",1355420613,12,40,12,15
"92","spc104 12.13 16.32.20",1355420689,13,35,13,16
"93","spc104 12.13 16.32.20",1355420812,14,32,14,18
"94","spc104 12.13 16.32.20",1355420853,15,30,15,20
"95","spc104 12.13 16.32.20",1355420942,16,28,16,21
"96","spc104 12.13 16.32.20",1355420991,17,26,17,23
"97","spc104 12.13 16.32.20",1355421029,18,25,18,23
"98","spc104 12.13 16.32.20",1355421156,19,18,19,26
"99","spc104 12.13 16.32.20",1355421313,20,15,20,28
"100","spc104 12.13 16.32.20",1355421359,21,14,21,29
"101","spc104 12.13 16.32.20",1355421414,22,19,22,33
"102","spc104 12.13 16.32.20",1355421469,23,13,23,32
"103","spc104 12.13 16.32.20",1355421591,24,14,24,31
"104","spc104 12.13 16.32.20",1355421696,25,20,25,34
"105","spc104 12.13 16.32.20",1355421846,26,0,26,42
"106","spc104 12.13 16.32.20",1355421937,27,0,27,42
"107","spc105 12.13 16.32.44",1355417538,0,58,0,0
"108","spc105 12.13 16.32.44",1355420310,1,52,1,6
"109","spc105 12.13 16.32.44",1355420379,2,52,2,6
"110","spc105 12.13 16.32.44",1355420446,3,49,3,9
"111","spc105 12.13 16.32.44",1355420473,4,48,4,10
"112","spc105 12.13 16.32.44",1355420492,5,47,5,11
"113","spc105 12.13 16.32.44",1355420518,6,47,6,11
"114","spc105 12.13 16.32.44",1355420538,7,46,7,12
"115","spc105 12.13 16.32.44",1355420642,8,46,8,12
"116","spc105 12.13 16.32.44",1355420701,9,44,9,14
"117","spc105 12.13 16.32.44",1355420730,10,43,10,15
"118","spc105 12.13 16.32.44",1355420745,11,43,11,15
"119","spc105 12.13 16.32.44",1355420763,12,43,12,15
"120","spc105 12.13 16.32.44",1355420798,13,41,13,17
"121","spc105 12.13 16.32.44",1355420819,14,40,14,18
"122","spc105 12.13 16.32.44",1355420846,15,40,15,18
"123","spc105 12.13 16.32.44",1355420877,16,37,16,21
"124","spc105 12.13 16.32.44",1355420895,17,36,17,22
"125","spc105 12.13 16.32.44",1355420906,18,36,18,22
"126","spc105 12.13 16.32.44",1355420948,19,35,19,31
"127","spc105 12.13 16.32.44",1355420971,20,31,20,60
"128","spc105 12.13 16.32.44",1355421005,21,13,21,49
"129","spc105 12.13 16.32.44",1355421030,22,15,22,43
"130","spc105 12.13 16.32.44",1355421039,23,11,23,46
"131","spc105 12.13 16.32.44",1355421057,24,7,24,41
"132","spc105 12.13 16.32.44",1355421065,25,6,25,41
"133","spc105 12.13 16.32.44",1355421073,26,14,26,48
"134","spc105 12.13 16.32.44",1355421087,27,3,27,41
"135","spc105 12.13 16.32.44",1355421091,28,11,28,50
"136","spc105 12.13 16.32.44",1355421097,29,0,29,45
"137","spc106 12.13 16.32.52",1355417711,0,6,0,0
"138","spc106 12.13 16.32.52",1355419319,1,6,1,0
"139","spc106 12.13 16.32.52",1355419519,2,6,2,0
"140","spc106 12.13 16.32.52",1355419718,3,4,3,2
"141","spc106 12.13 16.32.52",1355419779,4,4,4,3
"142","spc106 12.13 16.32.52",1355419847,5,0,5,6
"143","spc106 12.13 16.32.52",1355419910,6,0,6,6
"144","spc107 12.13 16.33.00",1355417480,0,73,0,0
"145","spc107 12.13 16.33.00",1355418038,1,72,1,1
"146","spc107 12.13 16.33.00",1355418515,2,72,2,2
"147","spc107 12.13 16.33.00",1355418828,3,72,3,2
"148","spc107 12.13 16.33.00",1355419522,4,72,4,2
"149","spc107 12.13 16.33.00",1355419589,5,71,5,3
"150","spc107 12.13 16.33.00",1355419617,6,71,6,4
"151","spc107 12.13 16.33.00",1355419834,7,70,7,5
"152","spc107 12.13 16.33.00",1355419862,8,70,8,5
"153","spc107 12.13 16.33.00",1355420081,9,67,9,12
"154","spc107 12.13 16.33.00",1355420188,10,70,10,18
"155","spc107 12.13 16.33.00",1355420358,11,65,11,26
"156","spc107 12.13 16.33.00",1355420395,12,59,12,26
"157","spc107 12.13 16.33.00",1355420408,13,57,13,28
"158","spc107 12.13 16.33.00",1355420416,14,59,14,26
"159","spc107 12.13 16.33.00",1355420432,15,47,15,29
"160","spc107 12.13 16.33.00",1355420445,16,50,16,29
"161","spc107 12.13 16.33.00",1355420492,17,43,17,30
"162","spc107 12.13 16.33.00",1355420524,18,39,18,32
"163","spc107 12.13 16.33.00",1355420583,19,35,19,38
"164","spc107 12.13 16.33.00",1355420592,20,28,20,34
"165","spc107 12.13 16.33.00",1355420680,21,18,21,41
"166","spc107 12.13 16.33.00",1355420697,22,16,22,40
"167","spc107 12.13 16.33.00",1355420780,23,12,23,52
"168","spc107 12.13 16.33.00",1355420792,24,12,24,51
"169","spc107 12.13 16.33.00",1355420837,25,5,25,50
"170","spc107 12.13 16.33.00",1355420910,26,2,26,49
"171","spc107 12.13 16.33.00",1355420950,27,0,27,47
"172","spc108 12.13 16.33.06",1355417599,0,10,0,0
"173","spc108 12.13 16.33.06",1355417902,1,9,1,1
"174","spc108 12.13 16.33.06",1355418175,2,10,2,2
"175","spc108 12.13 16.33.06",1355418637,3,10,3,2
"176","spc108 12.13 16.33.06",1355418712,4,10,4,3
"177","spc108 12.13 16.33.06",1355418842,5,9,5,3
"178","spc108 12.13 16.33.06",1355418876,6,9,6,3
"179","spc108 12.13 16.33.06",1355419059,7,8,7,4
"180","spc108 12.13 16.33.06",1355419518,8,6,8,4
"181","spc108 12.13 16.33.06",1355419598,9,6,9,4
"182","spc108 12.13 16.33.06",1355419969,10,4,10,6
"183","spc108 12.13 16.33.06",1355420161,11,3,11,6
"184","spc108 12.13 16.33.06",1355420548,12,3,12,6
"185","spc108 12.13 16.33.06",1355420650,13,0,13,7
"186","spc109 12.13 16.33.32",1355417861,0,3,0,0
"187","spc109 12.13 16.33.32",1355418490,1,3,1,0
"188","spc109 12.13 16.33.32",1355419356,2,1,2,2
"189","spc109 12.13 16.33.32",1355419873,3,1,3,2
"190","spc109 12.13 16.33.32",1355420393,4,0,4,3
"191","spc109 12.13 16.33.32",1355420481,5,0,5,3
"192","spc110 12.13 16.30.58",1355418155,0,61,0,0
"193","spc110 12.13 16.30.58",1355418568,1,61,1,0
"194","spc110 12.13 16.30.58",1355418600,2,61,2,0
"195","spc110 12.13 16.30.58",1355418657,3,61,3,0
"196","spc110 12.13 16.30.58",1355418765,4,61,4,0
"197","spc110 12.13 16.30.58",1355418780,5,61,5,0
