"","Date","UUID","Type","Message","Yrs","Years"
"1",1355416726,"spc101 12.13 16.36.14","SURVEY_EXPERIENCE",6,"6","6"
"2",1355416756,"spc102 12.13 16.31.56","SURVEY_EXPERIENCE",0,"<1","<1"
"3",1355416639,"spc103 12.13 16.35.42","SURVEY_EXPERIENCE",6,"6","6"
"4",1355416805,"spc104 12.13 16.32.20","SURVEY_EXPERIENCE",10,"10+","10+"
"5",1355416808,"spc105 12.13 16.32.44","SURVEY_EXPERIENCE",4,"4","4"
"6",1355416799,"spc106 12.13 16.32.52","SURVEY_EXPERIENCE",4,"4","4"
"7",1355416793,"spc107 12.13 16.33.00","SURVEY_EXPERIENCE",6,"6","6"
"8",1355416807,"spc108 12.13 16.33.06","SURVEY_EXPERIENCE",6,"6","6"
"9",1355416770,"spc109 12.13 16.33.32","SURVEY_EXPERIENCE",2,"2","2"
"10",1355416785,"spc110 12.13 16.30.58","SURVEY_EXPERIENCE",2,"2","2"
"11",1355416741,"spc111 12.13 16.26.39","SURVEY_EXPERIENCE",2,"2","2"
"12",1355416758,"spc112 12.13 16.36.01","SURVEY_EXPERIENCE",5,"5","5"
"13",1355416761,"spc113 12.13 16.31.22","SURVEY_EXPERIENCE",2,"2","2"
"14",1355416812,"spc114 12.13 16.36.30","SURVEY_EXPERIENCE",5,"5","5"
"15",1355416596,"spc115 12.13 16.33.48","SURVEY_EXPERIENCE",4,"4","4"
"16",1355416791,"spc116 12.13 16.36.09","SURVEY_EXPERIENCE",3,"3","3"
"17",1355416769,"spc117 12.13 16.34.19","SURVEY_EXPERIENCE",4,"4","4"
"18",1355416779,"spc118 12.13 16.35.23","SURVEY_EXPERIENCE",6,"6","6"
"19",1355416782,"spc119 12.13 16.35.52","SURVEY_EXPERIENCE",5,"5","5"
"20",1355416782,"spc120 12.13 16.35.48","SURVEY_EXPERIENCE",4,"4","4"
"21",1355416820,"spc135 12.13 16.36.48","SURVEY_EXPERIENCE",10,"10+","10+"
"22",1355416795,"spc136 12.13 16.36.47","SURVEY_EXPERIENCE",5,"5","5"
"23",1355416645,"spc56 12.13 16.35.46","SURVEY_EXPERIENCE",10,"10+","10+"
"24",1355416792,"spc59 12.13 16.36.27","SURVEY_EXPERIENCE",0,"<1","<1"
"25",1355416798,"spc60 12.13 16.36.20","SURVEY_EXPERIENCE",4,"4","4"
"26",1355416772,"spc61 12.13 16.35.41","SURVEY_EXPERIENCE",10,"10+","10+"
"27",1355416775,"spc62 12.13 16.37.34","SURVEY_EXPERIENCE",3,"3","3"
"28",1355416761,"spc63 12.13 16.35.36","SURVEY_EXPERIENCE",5,"5","5"
"29",1355416765,"spc64 12.13 16.35.57","SURVEY_EXPERIENCE",3,"3","3"
"30",1355416764,"spc65 12.13 16.34.36","SURVEY_EXPERIENCE",5,"5","5"
"31",1355416769,"spc66 12.13 16.35.00","SURVEY_EXPERIENCE",5,"5","5"
"32",1355416840,"spc67 12.13 16.35.45","SURVEY_EXPERIENCE",8,"8","8"
"33",1355416769,"spc68 12.13 16.36.07","SURVEY_EXPERIENCE",4,"4","4"
"34",1355416665,"spc69 12.13 16.35.50","SURVEY_EXPERIENCE",10,"10+","10+"
"35",1355416764,"spc70 12.13 16.36.50","SURVEY_EXPERIENCE",5,"5","5"
